symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2019-10-11 00:00:00+00:00,1215.45,1228.39,1213.74,1222.21,1277144,1215.45,1228.39,1213.74,1222.21,1277144,0.0,1.0
GOOG,2019-10-14 00:00:00+00:00,1217.14,1226.33,1211.76,1212.34,882039,1217.14,1226.33,1211.76,1212.34,882039,0.0,1.0
GOOG,2019-10-15 00:00:00+00:00,1243.01,1247.33,1220.4,1220.4,1395259,1243.01,1247.33,1220.4,1220.4,1395259,0.0,1.0
GOOG,2019-10-16 00:00:00+00:00,1243.64,1254.74,1238.45,1241.17,1168174,1243.64,1254.74,1238.45,1241.17,1168174,0.0,1.0
GOOG,2019-10-17 00:00:00+00:00,1253.07,1263.33,1249.94,1250.93,980510,1253.07,1263.33,1249.94,1250.93,980510,0.0,1.0
GOOG,2019-10-18 00:00:00+00:00,1245.49,1258.89,1241.08,1253.46,1321924,1245.49,1258.89,1241.08,1253.46,1321924,0.0,1.0
GOOG,2019-10-21 00:00:00+00:00,1246.15,1254.63,1240.6,1252.26,1026750,1246.15,1254.63,1240.6,1252.26,1026750,0.0,1.0
GOOG,2019-10-22 00:00:00+00:00,1242.8,1250.6,1241.38,1247.85,1047851,1242.8,1250.6,1241.38,1247.85,1047851,0.0,1.0
GOOG,2019-10-23 00:00:00+00:00,1259.13,1259.89,1242.36,1242.36,928595,1259.13,1259.89,1242.36,1242.36,928595,0.0,1.0
GOOG,2019-10-24 00:00:00+00:00,1260.99,1264.0,1253.71,1260.9,1039868,1260.99,1264.0,1253.71,1260.9,1039868,0.0,1.0
GOOG,2019-10-25 00:00:00+00:00,1265.13,1269.6,1250.01,1251.03,1213051,1265.13,1269.6,1250.01,1251.03,1213051,0.0,1.0
GOOG,2019-10-28 00:00:00+00:00,1290.0,1299.31,1272.54,1275.45,2524976,1290.0,1299.31,1272.54,1275.45,2524976,0.0,1.0
GOOG,2019-10-29 00:00:00+00:00,1262.62,1281.59,1257.21,1276.23,1886380,1262.62,1281.59,1257.21,1276.23,1886380,0.0,1.0
GOOG,2019-10-30 00:00:00+00:00,1261.29,1269.36,1252.0,1252.97,1408851,1261.29,1269.36,1252.0,1252.97,1408851,0.0,1.0
GOOG,2019-10-31 00:00:00+00:00,1260.11,1267.67,1250.84,1261.28,1455651,1260.11,1267.67,1250.84,1261.28,1455651,0.0,1.0
GOOG,2019-11-01 00:00:00+00:00,1273.74,1274.62,1260.5,1265.0,1670072,1273.74,1274.62,1260.5,1265.0,1670072,0.0,1.0
GOOG,2019-11-04 00:00:00+00:00,1291.37,1294.13,1276.36,1276.45,1500964,1291.37,1294.13,1276.36,1276.45,1500964,0.0,1.0
GOOG,2019-11-05 00:00:00+00:00,1292.03,1298.93,1291.23,1292.89,1282711,1292.03,1298.93,1291.23,1292.89,1282711,0.0,1.0
GOOG,2019-11-06 00:00:00+00:00,1291.8,1293.73,1282.5,1289.46,1152977,1291.8,1293.73,1282.5,1289.46,1152977,0.0,1.0
GOOG,2019-11-07 00:00:00+00:00,1308.86,1323.74,1294.24,1294.28,2029970,1308.86,1323.74,1294.24,1294.28,2029970,0.0,1.0
GOOG,2019-11-08 00:00:00+00:00,1311.37,1318.0,1304.37,1305.28,1251916,1311.37,1318.0,1304.37,1305.28,1251916,0.0,1.0
GOOG,2019-11-11 00:00:00+00:00,1299.19,1306.42,1297.41,1303.18,1012429,1299.19,1306.42,1297.41,1303.18,1012429,0.0,1.0
GOOG,2019-11-12 00:00:00+00:00,1298.8,1310.0,1295.77,1300.0,1085859,1298.8,1310.0,1295.77,1300.0,1085859,0.0,1.0
GOOG,2019-11-13 00:00:00+00:00,1298.0,1304.3,1293.51,1294.07,853861,1298.0,1304.3,1293.51,1294.07,853861,0.0,1.0
GOOG,2019-11-14 00:00:00+00:00,1311.46,1317.0,1295.65,1297.5,1194305,1311.46,1317.0,1295.65,1297.5,1194305,0.0,1.0
GOOG,2019-11-15 00:00:00+00:00,1334.87,1334.88,1314.28,1318.94,1782955,1334.87,1334.88,1314.28,1318.94,1782955,0.0,1.0
GOOG,2019-11-18 00:00:00+00:00,1320.7,1335.53,1317.5,1332.22,1488083,1320.7,1335.53,1317.5,1332.22,1488083,0.0,1.0
GOOG,2019-11-19 00:00:00+00:00,1315.46,1327.7,1312.8,1327.7,1269372,1315.46,1327.7,1312.8,1327.7,1269372,0.0,1.0
GOOG,2019-11-20 00:00:00+00:00,1303.05,1315.0,1291.15,1311.74,1309835,1303.05,1315.0,1291.15,1311.74,1309835,0.0,1.0
GOOG,2019-11-21 00:00:00+00:00,1301.35,1312.59,1293.0,1301.48,995499,1301.35,1312.59,1293.0,1301.48,995499,0.0,1.0
GOOG,2019-11-22 00:00:00+00:00,1295.34,1308.73,1291.41,1305.62,1386506,1295.34,1308.73,1291.41,1305.62,1386506,0.0,1.0
GOOG,2019-11-25 00:00:00+00:00,1306.69,1311.31,1298.13,1299.18,1036487,1306.69,1311.31,1298.13,1299.18,1036487,0.0,1.0
GOOG,2019-11-26 00:00:00+00:00,1313.55,1314.8,1305.09,1309.86,1069795,1313.55,1314.8,1305.09,1309.86,1069795,0.0,1.0
GOOG,2019-11-27 00:00:00+00:00,1312.99,1318.36,1309.63,1315.0,996329,1312.99,1318.36,1309.63,1315.0,996329,0.0,1.0
GOOG,2019-11-29 00:00:00+00:00,1304.96,1310.2,1303.97,1307.12,586981,1304.96,1310.2,1303.97,1307.12,586981,0.0,1.0
GOOG,2019-12-02 00:00:00+00:00,1289.92,1305.83,1281.0,1301.0,1511851,1289.92,1305.83,1281.0,1301.0,1511851,0.0,1.0
GOOG,2019-12-03 00:00:00+00:00,1295.28,1298.46,1279.0,1279.57,1268647,1295.28,1298.46,1279.0,1279.57,1268647,0.0,1.0
GOOG,2019-12-04 00:00:00+00:00,1320.54,1325.8,1304.87,1307.01,1538110,1320.54,1325.8,1304.87,1307.01,1538110,0.0,1.0
GOOG,2019-12-05 00:00:00+00:00,1328.13,1329.36,1316.44,1328.0,1212818,1328.13,1329.36,1316.44,1328.0,1212818,0.0,1.0
GOOG,2019-12-06 00:00:00+00:00,1340.62,1344.0,1333.44,1333.44,1315510,1340.62,1344.0,1333.44,1333.44,1315510,0.0,1.0
GOOG,2019-12-09 00:00:00+00:00,1343.56,1359.45,1337.84,1338.04,1355795,1343.56,1359.45,1337.84,1338.04,1355795,0.0,1.0
